Title,Price,Rating,Colors,Size,Gender,Timestamp
T-Shirt 2,1634400.0,3.9,3,M,Women,2026-05-11 18:22:30.546196
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-05-11 18:22:30.546241
Pants 4,7476960.0,3.3,3,XL,Men,2026-05-11 18:22:30.546282
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-05-11 18:22:30.546318
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-05-11 18:22:30.546353
Crewneck 7,6892000.0,4.3,3,M,Men,2026-05-11 18:22:30.546389
T-Shirt 8,7802560.0,3.1,3,L,Women,2026-05-11 18:22:30.546424
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-05-11 18:22:30.546457
Pants 10,3100160.0,4.2,3,XXL,Men,2026-05-11 18:22:30.546492
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-05-11 18:22:30.546559
Crewneck 13,5447200.0,3.2,3,L,Men,2026-05-11 18:22:30.546593
T-Shirt 14,3248800.0,3.8,3,XL,Women,2026-05-11 18:22:30.546629
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2026-05-11 18:22:30.546662
Outerwear 17,841600.0,3.8,3,M,Women,2026-05-11 18:22:30.546723
Jacket 18,5500000.0,3.8,3,L,Unisex,2026-05-11 18:22:30.546755
Crewneck 19,1308960.0,3.6,3,XL,Men,2026-05-11 18:22:30.546788
T-Shirt 20,1325600.0,3.4,3,XXL,Women,2026-05-11 18:22:30.546819
Pants 22,4319680.0,4.9,3,M,Men,2026-05-11 18:22:35.309212
Outerwear 23,4655840.0,3.7,3,L,Women,2026-05-11 18:22:35.309249
Jacket 24,8223520.0,3.9,3,XL,Unisex,2026-05-11 18:22:35.309283
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2026-05-11 18:22:35.309320
T-Shirt 26,7292320.0,4.6,3,S,Women,2026-05-11 18:22:35.309356
Hoodie 27,3551840.0,4.8,3,M,Unisex,2026-05-11 18:22:35.309391
Pants 28,5216160.0,4.0,3,L,Men,2026-05-11 18:22:35.309426
Outerwear 29,861600.0,3.1,3,XL,Women,2026-05-11 18:22:35.309461
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2026-05-11 18:22:35.309494
T-Shirt 32,6657920.0,3.4,3,M,Women,2026-05-11 18:22:35.309560
Hoodie 33,7248160.0,3.5,3,L,Unisex,2026-05-11 18:22:35.309592
Pants 34,8362719.999999999,3.8,3,XL,Men,2026-05-11 18:22:35.309623
Outerwear 35,1356160.0,3.8,3,XXL,Women,2026-05-11 18:22:35.309654
Jacket 36,7249280.0,3.7,3,S,Unisex,2026-05-11 18:22:35.309688
Crewneck 37,6006080.0,4.0,3,M,Men,2026-05-11 18:22:35.309720
T-Shirt 38,4866080.0,3.2,3,L,Women,2026-05-11 18:22:35.309752
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2026-05-11 18:22:35.309784
Pants 40,5853600.0,3.1,3,XXL,Men,2026-05-11 18:22:35.309816
Jacket 42,6744160.0,3.7,3,M,Unisex,2026-05-11 18:22:39.837493
Crewneck 43,2909600.0,4.5,3,L,Men,2026-05-11 18:22:39.837533
T-Shirt 44,3312320.0,3.0,3,XL,Women,2026-05-11 18:22:39.837569
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2026-05-11 18:22:39.837603
Outerwear 47,6364640.0,3.2,3,M,Women,2026-05-11 18:22:39.837669
Jacket 48,4994720.0,3.4,3,L,Unisex,2026-05-11 18:22:39.837703
Crewneck 49,1071200.0,4.0,3,XL,Men,2026-05-11 18:22:39.837737
T-Shirt 50,5932960.0,3.1,3,XXL,Women,2026-05-11 18:22:39.837769
Pants 52,1596480.0,4.0,3,M,Men,2026-05-11 18:22:39.837834
Outerwear 53,4470880.0,4.3,3,L,Women,2026-05-11 18:22:39.837868
Jacket 54,854560.0,4.2,3,XL,Unisex,2026-05-11 18:22:39.837902
Crewneck 55,1793760.0,3.6,3,XXL,Men,2026-05-11 18:22:39.837935
T-Shirt 56,4643040.0,3.8,3,S,Women,2026-05-11 18:22:39.837967
Hoodie 57,3155360.0,4.9,3,M,Unisex,2026-05-11 18:22:39.838001
Pants 58,1637760.0,4.4,3,L,Men,2026-05-11 18:22:39.838032
Outerwear 59,2254240.0,4.6,3,XL,Women,2026-05-11 18:22:39.838066
Jacket 60,3375520.0,4.2,3,XXL,Unisex,2026-05-11 18:22:39.838098
T-Shirt 62,1376480.0,3.8,3,M,Women,2026-05-11 18:22:45.615684
Hoodie 63,6479200.0,3.6,3,L,Unisex,2026-05-11 18:22:45.615722
Pants 64,7728480.0,4.0,3,XL,Men,2026-05-11 18:22:45.615766
Outerwear 65,2385920.0,4.1,3,XXL,Women,2026-05-11 18:22:45.615799
Jacket 66,4353120.0,3.5,3,S,Unisex,2026-05-11 18:22:45.615834
Crewneck 67,8470720.0,3.5,3,M,Men,2026-05-11 18:22:45.615865
T-Shirt 68,8025280.0,4.0,3,L,Women,2026-05-11 18:22:45.615898
Hoodie 69,1027839.9999999999,3.6,3,XL,Unisex,2026-05-11 18:22:45.615929
Pants 70,1171360.0,4.4,3,XXL,Men,2026-05-11 18:22:45.615964
Jacket 72,3776000.0,4.4,3,M,Unisex,2026-05-11 18:22:45.616029
Crewneck 73,2460320.0,3.0,3,L,Men,2026-05-11 18:22:45.616061
T-Shirt 74,7704800.0,3.8,3,XL,Women,2026-05-11 18:22:45.616092
Hoodie 75,2101760.0,4.3,3,XXL,Unisex,2026-05-11 18:22:45.616124
Outerwear 77,861760.0,3.7,3,M,Women,2026-05-11 18:22:45.616185
Jacket 78,2716480.0,4.3,3,L,Unisex,2026-05-11 18:22:45.616217
Crewneck 79,3309600.0,4.6,3,XL,Men,2026-05-11 18:22:45.616250
